FractalName,CenterX,CenterY,Zoom
MandelParameter,0,0,1
MandelTrig,-0.8,0,1
MandelTrigClassic,0,0,1
Manowar,0,0,1
MarksJulia,0,0,1
MarksMandel,-0.36,0,0.707106781
MarksMandelPlaceholder,-0.39,0,0.812252396
MartinMap,0,0,0.006777138
MaximumDistance,0,0,0.5
MinimumDistance,-0.24,0,1
Mobius,-2.36,0.01,0.406126198
Multibrot-10,0,0,0.75
Multibrot3,-0.16,0.01,0.550210056
Multibrot-3,-0.19,0.02,0.550210056
Multibrot3Julia,0,0,1
Multibrot4,0,0,0.7
Multibrot-4,-0.11,0,0.722363195
Multibrot4Julia,0,0,1
Multibrot5,0,0,0.65
Multibrot-5,0.08,-0.02,0.750286478
Multibrot6,0,0,0.75
Multibrot-6,-0.01,-0.04,0.718412383
Multibrot7,0,0,0.699774744
Multibrot8,0,0,0.75
Multibrot-8,0,0,0.750241424
MultiPowerCycle,0,0,1
MutantMandelbrot,-0.5,0,1
Newton,0,0,1
NewtonBasin,0,0,1
NewtonCosh,0,0,0.15
NewtonCubic,0,0,0.6
NewtonMandelBlend,-0.75,0,0.27604866
NewtonQuartic,0,0,1
NewtonQuarticRational,0,0,0.6
NewtonQuintic,0,0,1
NewtonQuinticRational,0,0,0.6
NewtonSextic,0,0,1
NewtonSin,0,0,0.03125
Nova,-0.55,0.03,1.350873221
NumFractal,0,0,0.615572207
OrbitAngleAccum,0,0,0.2
OrbitDiagram,0,0,1
OrbitTrapCircle,-0.38,-0.02,1
OrbitTrapCross,-0.24,0,1
OrbitTrapPoint,0,0,1
OrbitTrapSquare,-0.17,0,0.745558904
PartialBurningShip,0,0,1
PentagonIFS,0,0,0.75
PerpendicularBurningShip,0,0,1
PerpendicularMandel,0,0,1
PerpendicularMandelbrot,-0.15,0.63,0.655099365
PerturbedNewton,0,0,0.15
Phoenix,-0.5,0,0.703819689
PhoenixComplex,-0.19,0.02,1.020513699
PhoenixCosh,0,0,0.130582584
PhoenixJ,-0.17,0.07,0.530330086
PhoenixLambda,0.6,0,0.615572207
PhoenixM,-0.19,0,0.689219013
PhoenixPower3,0,0,0.918958684
PhoenixPower4,0,0,1
PhoenixSin,0,0,0.375
Pickover,0,0,1
PickoverStalks,-0.75,0,0.763892457
PointLineOrbitTrap,0,0,0.8
PolyZ3MinusZ,0,0,1.218378595
PolyZ4PlusZ3,0,0,0.75
PowerTower,0.75,0,1.149641212
QuarticMandel,0,0,0.696652751
QuasiPerpendicular,-0.8,-0.5,0.72394925
QuaternionJulia2D,0,0,1
QuinticMandel,-0.17,0.02,0.843007812
RabinovichFabrikant,0,0,1
RationalPower,0.09,-0.17,1.622144478
RationalR1,0,0,0.09375
RationalSymmetric,4.03,0.14,0.25
RationalZ2Z3,-0.06,-0.13,0.997244699
ReverseBurningShip,0,0,1
SechMandel,-0.78,0.04,0.25
SecMandel,1.54,0.02,0.046875
SexticMandel,0,0,0.75
SharkBurningShip,0,0,1
SharkFin,-0.5,0,1.151149201
SharkFinMandelbrot,0,0,6
SierpinskiIFS,0.5,0.43,1.5
SierpinskiMandel,0,0,0.4
Sine,0.01,0.06,0.233258248
SineMandelHybrid,0,0,0.75
SinhMandelbrot,0,0,0.1875
SinusoidalFractal,0,0,1
SinZ,0,0,0.233258248
SmoothedOrbit,-0.25,-0.01,0.8
Spider,-0.59,0,1
